sample_no,drying_treatment,date,cc_treatment,pre_post_wet,median,iqr,day_elapsed
110,two_wk,2022-03-08,w_cc,post_co2,496.34685017376955,64.86019866706937,0
110,two_wk,2022-03-09,w_cc,post_co2,18684.17388815832,1857.6137289896433,1
110,two_wk,2022-03-10,w_cc,post_co2,24292.49518909037,6864.82467651787,2
110,two_wk,2022-03-11,w_cc,post_co2,15631.081545672992,5041.208518397652,3
110,two_wk,2022-03-12,w_cc,post_co2,15982.741040993677,2271.5456867691973,4
113,one_wk,2022-02-22,w_cc,post_co2,33268.26197703132,1936.9035864734942,0
113,one_wk,2022-02-23,w_cc,post_co2,92916.40567986672,22982.460797549662,1
113,one_wk,2022-02-24,w_cc,post_co2,213921.5208814256,93528.75886274688,2
113,one_wk,2022-02-25,w_cc,post_co2,113972.3790859214,2147.8677569213614,3
113,one_wk,2022-02-26,w_cc,post_co2,97707.0737406414,10801.479918127254,4
114,two_wk,2022-03-02,w_cc,post,64944.52263541777,42555.050445822206,NA
114,two_wk,2022-03-03,w_cc,post,31717.90625929611,6540.783570546599,NA
115,one_wk,2022-02-22,no_cc,post_co2,851.466146578955,80.33492391408333,0
115,one_wk,2022-02-23,no_cc,post_co2,3682.342201093258,2468.235938683405,1
115,one_wk,2022-02-24,no_cc,post_co2,2932.745687956971,508.2881103632062,2
115,one_wk,2022-02-25,no_cc,post_co2,3081.8585128714585,74.52243808478306,3
115,one_wk,2022-02-26,no_cc,post_co2,4461.664489537194,2682.4966575466065,4
116,two_wk,2022-03-02,no_cc,post,4417.761970618472,450.71200844171744,NA
116,two_wk,2022-03-03,no_cc,post,2371.411595408162,428.3316159958458,NA
122,two_wk,2022-03-02,no_cc,post,4215.47551197078,748.1335312599285,NA
122,two_wk,2022-03-03,no_cc,post,2405.082618172084,604.0165726198045,NA
126,four_wk,2022-03-16,no_cc,post,4353.318241730833,1095.4127955750446,1
126,four_wk,2022-03-17,no_cc,post,1394.8288085730176,272.3454619038216,2
127,four_wk,2022-03-15,no_cc,post_co2,560.4298439759167,203.10284349029143,0
127,four_wk,2022-03-16,no_cc,post_co2,1841.019200419964,988.1070356426551,1
127,four_wk,2022-03-17,no_cc,post_co2,1500.3681468811487,225.7859874498863,2
127,four_wk,2022-03-18,no_cc,post_co2,2075.927195650503,877.1142156744361,3
127,four_wk,2022-03-19,no_cc,post_co2,1314.7278078174943,758.4450263421237,4
132,two_wk,2022-03-02,w_cc,post,78551.21986588762,10284.55107169431,NA
132,two_wk,2022-03-03,w_cc,post,51092.06153198615,8252.800274306166,NA
